drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real
acetaminophen,Acetaminophen,0.8890647028572837,2.095656440593297,0.8890647028572837,100,0.168755,0.521453,0.168755,0.521453,0.8890647028572837,0.1391554444984822,0.4516053706946927,0.5015155114891924,0.3366074283751085,0.168755,0.521453,2.095656440593297,unweighted_total_prob,0.3366074283751085,1544.0,87.0,849.0,528.0,-0.37983285899999997,0.0027131510000000247,-17.427496238406704
acetazolamide,Acetazolamide,1.7461180658545323,3.8478759936988314,1.7461180658545323,100,0.255654,0.526262,0.255654,0.526262,1.7461180658545323,0.2848882255278472,0.7323409223584381,0.2130991508599291,0.4495114893264999,0.255654,0.526262,3.8478759936988314,unweighted_total_prob,0.4495114893264999,851.0,584.0,1574.0,1473.0,-0.29293385899999996,0.007522150999999977,-15.675276685301167
acetohexamide,Acetohexamide,2.2678413223009537,5.595196163281794,2.2678413223009537,100,0.320018,0.520446,0.320018,0.520446,2.2678413223009537,0.3928289926042698,0.3928196147110329,0.1442699178843478,0.3431134265029906,0.320018,0.520446,5.595196163281794,unweighted_total_prob,0.3431134265029906,290.0,1141.0,556.0,606.0,-0.22856985899999993,0.0017061509999999336,-13.927956515718204
acetohydroxamic_acid,Acetohydroxamic_acid,2.155239669326691,4.872841218486424,2.155239669326691,100,0.25259,0.521426,0.25259,0.521426,2.155239669326691,0.2797497861778664,0.4500291885580838,0.1563051794432314,0.3231726257830264,0.25259,0.521426,4.872841218486424,unweighted_total_prob,0.3231726257830264,458.0,549.0,839.0,381.0,-0.295997859,0.0026861509999999145,-14.650311460513574
acetophenazine,Acetophenazine,1.6538770432118308,4.154314931482072,1.6538770432118308,100,0.271594,0.518078,0.271594,0.518078,1.6538770432118308,0.3116201848094048,0.254582603619385,0.2297856906323179,0.2724382534979795,0.271594,0.518078,4.154314931482072,unweighted_total_prob,0.2724382534979795,719.0,715.0,107.0,98.0,-0.27699385899999995,-0.0006618489999999921,-15.368837747517926
acetylcarnitine,Acetylcarnitine,1.279244541074147,2.968452137894924,1.279244541074147,100,0.288224,0.524705,0.288224,0.524705,1.279244541074147,0.3395092991665129,0.6414477524810281,0.3222912140683656,0.4568410634726895,0.288224,0.524705,2.968452137894924,unweighted_total_prob,0.4568410634726895,1250.0,863.0,1473.0,1499.0,-0.260363859,0.005965150999999946,-16.554700541105074
acetylcholine,Acetylcholine,1.5144976233132166,3.631322929635639,1.5144976233132166,100,0.157066,0.528091,0.157066,0.528091,1.5144976233132166,0.1195525667041205,0.8391126678342099,0.2588557447940348,0.4352372427741391,0.157066,0.528091,3.631322929635639,unweighted_total_prob,0.4352372427741391,941.0,56.0,1616.0,1384.0,-0.3915218589999999,0.009351150999999946,-15.89182974936436
acetylcysteine,Acetylcysteine,1.0957226711092498,2.605506139807398,1.0957226711092498,100,0.216301,0.522704,0.216301,0.522704,1.0957226711092498,0.2188918143856177,0.5246351430239333,0.3906906639849768,0.3755489157608158,0.216301,0.522704,2.605506139807398,unweighted_total_prob,0.3755489157608158,1408.0,303.0,1135.0,957.0,-0.332286859,0.003964150999999916,-16.9176465391926
acetylsalicylic_acid,Acetylsalicylic_acid,0.9828748665750008,2.415038880892093,0.9828748665750008,100,0.186618,0.521544,0.186618,0.521544,0.9828748665750008,0.1691123446645089,0.4569176882662019,0.4454317286887185,0.339498358910028,0.186618,0.521544,2.415038880892093,unweighted_total_prob,0.339498358910028,1467.0,151.0,872.0,573.0,-0.36196985899999995,0.002804150999999977,-17.108113798107905
acipimox,Acipimox,1.0911488241516034,2.8015446849167294,1.0911488241516034,100,0.278933,0.519989,0.278933,0.519989,1.0911488241516034,0.3239279545187744,0.3661412726211362,0.3926892184834353,0.3545655345526514,0.278933,0.519989,2.8015446849167294,unweighted_total_prob,0.3545655345526514,1322.0,782.0,435.0,730.0,-0.26965485899999997,0.001249151000000004,-16.72160799408327
acitretin,Acitretin,1.2221545799751747,2.896069046109909,1.2221545799751747,100,0.253128,0.523358,0.253128,0.523358,1.2221545799751747,0.2806520317295276,0.5628137769994176,0.3413677290669972,0.4056598693049775,0.253128,0.523358,2.896069046109909,unweighted_total_prob,0.4056598693049775,1282.0,558.0,1271.0,1216.0,-0.29545985899999994,0.004618150999999959,-16.62708363289009
acrivastine,Acrivastine,2.3396470321342333,5.747961675748225,2.3396470321342333,100,0.332183,0.52241,0.332183,0.52241,2.3396470321342333,0.4132301396971272,0.5074722708698233,0.1371999901287438,0.395720962252529,0.332183,0.52241,5.747961675748225,unweighted_total_prob,0.395720962252529,263.0,1236.0,1075.0,1138.0,-0.21640485899999995,0.0036701510000000104,-13.775191003251773
acyclovir,Acyclovir,1.563203152175991,3.543961425311859,1.563203152175991,100,0.217409,0.518474,0.217409,0.518474,1.563203152175991,0.220749970651864,0.2776999416228848,0.2481081013896744,0.2490015851878344,0.217409,0.518474,3.543961425311859,unweighted_total_prob,0.2490015851878344,986.0,312.0,145.0,45.0,-0.331178859,-0.0002658490000000402,-15.979191253688139
