drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_primary_composite_worst
nintedanib,Nintedanib,6.49616532307118,15.16985264420509,6.49616532307118,100,0.395287,0.069772,0.395287,0.069772,6.49616532307118,0.3453891741781342,0.0972155230517126,0.0729367835001703,0.1916292355919728,0.395287,0.069772,15.16985264420509,unweighted_total_prob,0.1916292355919728,154.0,333.0,83.0,16.0,-0.21301928871917725,-0.4092986634521484,4.367850545793772,True
lapatinib,Lapatinib,3.4938468662090583,8.883100349456068,3.4938468662090583,100,0.389185,0.040065,0.389185,0.040065,3.4938468662090583,0.3335557038025351,0.0497688919270292,0.1982151859291333,0.1929728754776524,0.389185,0.040065,8.883100349456068,unweighted_total_prob,0.1929728754776524,742.0,295.0,39.0,17.0,-0.21912128871917724,-0.43900566345214836,-1.9189017489552498,True
mitomycin,Mitomycin,2.3205055905506,5.239696582779284,2.3205055905506,100,0.349443,0.047072,0.349443,0.047072,2.3205055905506,0.2564849434506726,0.0609601446381968,0.3352775595734175,0.1940335471502313,0.349443,0.047072,5.239696582779284,unweighted_total_prob,0.1940335471502313,1380.0,136.0,49.0,18.0,-0.25886328871917724,-0.4319986634521484,-5.562305515632034,True
bivalirudin,Bivalirudin,2.9693654424045217,6.149449504911895,2.9693654424045217,100,0.361391,0.061229,0.361391,0.061229,2.9693654424045217,0.2796554292008626,0.0835710429730049,0.2460939554138796,0.1945093799523229,0.361391,0.061229,6.149449504911895,unweighted_total_prob,0.1945093799523229,1220.0,176.0,66.0,19.0,-0.24691528871917723,-0.4178416634521484,-4.652552593499423,True
isoflurophate,Isoflurophate,4.273731036577372,9.112729150801892,4.273731036577372,100,0.358851,0.094898,0.358851,0.094898,4.273731036577372,0.2747296647377321,0.1373455952110957,0.1487500236818235,0.1945801087158958,0.358851,0.094898,9.112729150801892,unweighted_total_prob,0.1945801087158958,708.0,165.0,120.0,20.0,-0.24945528871917727,-0.3841726634521484,-1.6892729476094264,True
olaparib,Olaparib,10.11384056508541,24.308372393250465,10.11384056508541,100,0.464024,0.008904,0.464024,0.008904,10.11384056508541,0.4786892812262439,0.0,0.0207888874335543,0.1956334899772084,0.464024,0.008904,24.308372393250465,unweighted_total_prob,0.1956334899772084,14.0,900.0,1.0,21.0,-0.14428228871917725,-0.47016666345214836,13.506370294839147,True
tivozanib,Tivozanib,7.703228710219263,19.051814936101437,7.703228710219263,100,0.418552,0.058656,0.418552,0.058656,7.703228710219263,0.3905064616721225,0.0794615677017284,0.0500923390317127,0.1980056795558829,0.418552,0.058656,19.051814936101437,unweighted_total_prob,0.1980056795558829,53.0,488.0,62.0,22.0,-0.18975428871917727,-0.4204146634521484,8.249812837690119,True
regadenoson,Regadenoson,2.634958706563337,5.85904503986239,2.634958706563337,100,0.298851,0.130652,0.298851,0.130652,2.634958706563337,0.1583730238763827,0.1944502119422341,0.2865718521882902,0.1984436647651048,0.298851,0.130652,5.85904503986239,unweighted_total_prob,0.1984436647651048,1276.0,28.0,206.0,23.0,-0.30945528871917727,-0.3484186634521484,-4.942957058548928,True
dacarbazine,Dacarbazine,4.086895136302335,9.48046405240893,4.086895136302335,100,0.416172,0.028936,0.416172,0.028936,4.086895136302335,0.3858909815846223,0.031994173585002,0.1588807371743991,0.1989302095027296,0.416172,0.028936,9.48046405240893,unweighted_total_prob,0.1989302095027296,659.0,469.0,21.0,24.0,-0.19213428871917726,-0.45013466345214836,-1.321538046002388,True
doxorubicin,Doxorubicin,3.278388835303484,7.538850460201497,3.278388835303484,100,0.407173,0.027863,0.407173,0.027863,3.278388835303484,0.3684394247327676,0.0302804281648389,0.2160298953824802,0.2026939202355386,0.407173,0.027863,7.538850460201497,unweighted_total_prob,0.2026939202355386,972.0,415.0,18.0,25.0,-0.20113328871917724,-0.45120766345214836,-3.2631516382098207,True
