drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_ae_extreme,flag_safety_extreme,flag_efficacy_extreme,n_extremes
cobimetinib,Cobimetinib,5.484994726721196,14.721975430846207,5.484994726721196,100,0.509022,0.518905,0.509022,0.518905,5.484994726721196,0.709795569269986,0.3028604786923513,0.0091554376294654,0.406893506710828,0.509022,0.518905,14.721975430846207,unweighted_total_prob,0.406893506710828,3.0,1609.0,200.0,1227.0,-0.03956585899999998,0.000165150999999919,-4.801177248153792,True,False,True,2
regorafenib,Regorafenib,5.148507979232816,14.243463009595867,5.148507979232816,100,0.544711,0.516843,0.544711,0.516843,5.148507979232816,0.7696473192574081,0.1824868651488661,0.0153802944057526,0.3839297326436603,0.544711,0.516843,14.243463009595867,unweighted_total_prob,0.3839297326436603,4.0,1620.0,32.0,1039.0,-0.0038768590000000103,-0.0018968489999999782,-5.2796896694041315,True,False,True,2
infigratinib,Infigratinib,4.620111848227678,12.329129185527558,4.620111848227678,100,0.378759,0.519231,0.378759,0.519231,4.620111848227678,0.4913397843331266,0.3218914185639244,0.0269852839387818,0.3306895379465768,0.378759,0.519231,12.329129185527558,unweighted_total_prob,0.3306895379465768,13.0,1456.0,271.0,464.0,-0.16982885899999994,0.0004911509999999675,-7.194023493472441,True,False,True,2
tepotinib,Tepotinib,4.080383996944873,11.494977917522188,4.080383996944873,100,0.407552,0.5182,0.407552,0.5182,4.080383996944873,0.5396266917104093,0.2617046117921786,0.0419421397837931,0.3289209493577938,0.407552,0.5182,11.494977917522188,unweighted_total_prob,0.3289209493577938,17.0,1524.0,121.0,440.0,-0.14103585899999993,-0.0005398490000000367,-8.02817476147781,True,False,True,2
ruxolitinib,Ruxolitinib,4.552172648720442,11.179931875318283,4.552172648720442,100,0.528993,0.519099,0.528993,0.519099,4.552172648720442,0.7432876620436365,0.3141856392294223,0.0286728788793775,0.428723896285099,0.528993,0.519099,11.179931875318283,unweighted_total_prob,0.428723896285099,22.0,1616.0,237.0,1350.0,-0.01959485899999991,0.0003591509999999465,-8.343220803681715,True,False,True,2
ponatinib,Ponatinib,4.159961413079871,11.09475307539105,4.159961413079871,100,0.409257,0.517003,0.409257,0.517003,4.159961413079871,0.5424860386724579,0.1918272037361363,0.0394929722179542,0.3016238914070286,0.409257,0.517003,11.09475307539105,unweighted_total_prob,0.3016238914070286,23.0,1527.0,38.0,222.0,-0.13933085899999997,-0.0017368490000000403,-8.428399603608948,True,False,True,2
tazemetostat,Tazemetostat,4.316459219902752,11.040354780852793,4.316459219902752,100,0.356378,0.518798,0.356378,0.518798,4.316459219902752,0.4538060339767562,0.2966141272621137,0.034939839443989,0.3071560323843458,0.356378,0.518798,11.040354780852793,unweighted_total_prob,0.3071560323843458,26.0,1371.0,188.0,259.0,-0.19220985899999998,5.815099999995077e-05,-8.482797898147206,True,False,True,2
binimetinib,Binimetinib,3.994088096916674,10.366039190441366,3.994088096916674,100,0.38951,0.517743,0.38951,0.517743,3.994088096916674,0.5093696020392762,0.2350262697022755,0.0447083838218259,0.3067000254609858,0.38951,0.517743,10.366039190441366,unweighted_total_prob,0.3067000254609858,29.0,1487.0,74.0,255.0,-0.15907785899999993,-0.0009968490000000774,-9.157113488558632,True,False,True,2
encorafenib,Encorafenib,3.827614814229308,9.941807556897398,3.827614814229308,100,0.449799,0.516727,0.449799,0.516727,3.827614814229308,0.6104764460245854,0.1757151196730923,0.0503971447213156,0.3245560552233342,0.449799,0.516727,9.941807556897398,unweighted_total_prob,0.3245560552233342,33.0,1588.0,29.0,393.0,-0.09878885899999995,-0.0020128489999999832,-9.5813451221026,True,False,True,2
pexidartinib,Pexidartinib,3.733497927850111,9.667045325040814,3.733497927850111,100,0.474714,0.518821,0.474714,0.518821,3.733497927850111,0.6522598064700064,0.2979568009340341,0.0538378099103693,0.39085420494369,0.474714,0.518821,9.667045325040814,unweighted_total_prob,0.39085420494369,37.0,1601.0,191.0,1098.0,-0.07387385899999993,8.115099999994602e-05,-9.856107353959185,True,False,True,2
