drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_ae_extreme,flag_safety_extreme,flag_efficacy_extreme,n_extremes
tazemetostat,Tazemetostat,10.414780616760252,25.217928171157837,10.414780616760252,100,0.514415,0.066098,0.514415,0.066098,10.414780616760252,0.5764114060536482,0.0913475820697189,0.0180830970589675,0.2707202146611404,0.514415,0.066098,25.217928171157837,unweighted_total_prob,0.2707202146611404,10.0,1349.0,77.0,139.0,-0.09389128871917729,-0.4129726634521484,14.415926072746519,True,False,True,2
gilteritinib,Gilteritinib,10.21207328699529,24.41093491017818,10.21207328699529,100,0.590291,0.113704,0.590291,0.113704,10.21207328699529,0.7235560140869107,0.1673816589311212,0.0198881327321268,0.3603526957536381,0.590291,0.113704,24.41093491017818,unweighted_total_prob,0.3603526957536381,11.0,1573.0,166.0,591.0,-0.018015288719177236,-0.3653666634521484,13.608932811766863,True,False,True,2
encorafenib,Encorafenib,9.920516444370149,24.364431828260415,9.920516444370149,100,0.575734,0.061496,0.575734,0.061496,9.920516444370149,0.6953259537365996,0.0839974828865031,0.0226136906790507,0.3162521127850512,0.575734,0.061496,24.364431828260415,unweighted_total_prob,0.3162521127850512,12.0,1559.0,68.0,323.0,-0.03257228871917728,-0.4175746634521484,13.562429729849097,True,False,True,2
trametinib,Trametinib,10.512675331905482,24.31962457299232,10.512675331905482,100,0.732841,0.018722,0.732841,0.018722,10.512675331905482,1.0,0.015680850452154,0.0172363060183931,0.4097196013845403,0.732841,0.018722,24.31962457299232,unweighted_total_prob,0.4097196013845403,13.0,1625.0,5.0,943.0,0.12453471128082272,-0.46034866345214837,13.517622474581003,True,False,True,2
olaparib,Olaparib,10.11384056508541,24.308372393250465,10.11384056508541,100,0.464024,0.008904,0.464024,0.008904,10.11384056508541,0.4786892812262439,0.0,0.0207888874335543,0.1956334899772084,0.464024,0.008904,24.308372393250465,unweighted_total_prob,0.1956334899772084,14.0,900.0,1.0,21.0,-0.14428228871917725,-0.47016666345214836,13.506370294839147,True,False,True,2
axitinib,Axitinib,9.544516729190944,24.26179520785808,9.544516729190944,100,0.478217,0.029506,0.478217,0.029506,9.544516729190944,0.5062134446219961,0.0329045509284251,0.0263744858165649,0.2209220953834815,0.478217,0.029506,24.26179520785808,unweighted_total_prob,0.2209220953834815,15.0,1042.0,24.0,39.0,-0.13008928871917724,-0.4495646634521484,13.45979310944676,True,False,True,2
ruxolitinib,Ruxolitinib,10.434299512580036,23.955394551157948,10.434299512580036,100,0.612516,0.094284,0.612516,0.094284,10.434299512580036,0.7666564531393022,0.1363649431253733,0.0179129900506537,0.3647911565160009,0.612516,0.094284,23.955394551157948,unweighted_total_prob,0.3647911565160009,16.0,1598.0,118.0,623.0,0.004209711280822703,-0.3847866634521484,13.15339245274663,True,False,True,2
infigratinib,Infigratinib,9.30338714737445,23.51827077567577,9.30338714737445,100,0.499243,0.1237,0.499243,0.1237,9.30338714737445,0.5469886901345083,0.1833468026589407,0.028946277817085,0.2979234526807967,0.499243,0.1237,23.51827077567577,unweighted_total_prob,0.2979234526807967,17.0,1260.0,187.0,225.0,-0.10906328871917725,-0.3553706634521484,12.716268677264452,True,False,True,2
regorafenib,Regorafenib,8.966235679574309,23.34305796772241,8.966235679574309,100,0.586043,0.064599,0.586043,0.064599,8.966235679574309,0.7153179639139271,0.0889534493718396,0.0327741215170808,0.3282633896177229,0.586043,0.064599,23.34305796772241,unweighted_total_prob,0.3282633896177229,18.0,1570.0,75.0,380.0,-0.022263288719177265,-0.41447166345214836,12.54105586931109,True,False,True,2
capivasertib,Capivasertib,8.992092497646807,23.23000770807266,8.992092497646807,100,0.522885,0.06127,0.522885,0.06127,8.992092497646807,0.5928370851885755,0.083636526255602,0.0324703937135535,0.2770835233203817,0.522885,0.06127,23.23000770807266,unweighted_total_prob,0.2770835233203817,19.0,1407.0,67.0,153.0,-0.0854212887191772,-0.4178006634521484,12.42800560966134,True,False,True,2
midostaurin,Midostaurin,9.671063824556766,23.194595932960507,9.671063824556766,100,0.501315,0.026027,0.501315,0.026027,9.671063824556766,0.5510068727989202,0.0273480548270762,0.0250760981727098,0.2363571906849405,0.501315,0.026027,23.194595932960507,unweighted_total_prob,0.2363571906849405,20.0,1271.0,16.0,63.0,-0.10699128871917729,-0.45304366345214836,12.392593834549189,True,False,True,2
ponatinib,Ponatinib,9.016794660128651,22.682731866836544,9.016794660128651,100,0.537416,0.104383,0.537416,0.104383,9.016794660128651,0.6210167243278466,0.1524945936363027,0.0321818561140485,0.3158408984084694,0.537416,0.104383,22.682731866836544,unweighted_total_prob,0.3158408984084694,21.0,1466.0,137.0,321.0,-0.07089028871917724,-0.3746876634521484,11.880729768425226,True,False,True,2
lorlatinib,Lorlatinib,8.841663943603633,22.52616928517818,8.841663943603633,100,0.520561,0.106539,0.520561,0.106539,8.841663943603633,0.5883302046325459,0.1559380560089696,0.0342623024909005,0.3045597647547863,0.520561,0.106539,22.52616928517818,unweighted_total_prob,0.3045597647547863,22.0,1389.0,144.0,254.0,-0.0877452887191772,-0.3725316634521484,11.724167186766863,True,False,True,2
capmatinib,Capmatinib,8.891823492944239,22.20913770794868,8.891823492944239,100,0.511747,0.059971,0.511747,0.059971,8.891823492944239,0.5712374140900135,0.0815618242045378,0.0336580629047899,0.2678513078987785,0.511747,0.059971,22.20913770794868,unweighted_total_prob,0.2678513078987785,23.0,1332.0,64.0,133.0,-0.0965592887191773,-0.4190996634521484,11.407135609537363,True,False,True,2
ibrutinib,Ibrutinib,9.18814598675817,22.129964686930176,9.18814598675817,100,0.576725,0.026282,0.576725,0.026282,9.18814598675817,0.6972477775881597,0.0277553289017654,0.0302230665108438,0.2960458558981388,0.576725,0.026282,22.129964686930176,unweighted_total_prob,0.2960458558981388,24.0,1562.0,17.0,218.0,-0.0315812887191772,-0.4527886634521484,11.327962588518858,True,False,True,2
sunitinib,Sunitinib,8.635519938543437,22.00637453049421,8.635519938543437,100,0.506563,0.033761,0.506563,0.033761,8.635519938543437,0.5611842003195929,0.0397004379394167,0.0368192899597118,0.2477177132955462,0.506563,0.033761,22.00637453049421,unweighted_total_prob,0.2477177132955462,26.0,1300.0,31.0,88.0,-0.10174328871917726,-0.4453096634521484,11.204372432082891,True,False,True,2
cabozantinib,Cabozantinib,9.284905140288172,21.861759223043915,9.284905140288172,100,0.565353,0.031613,0.565353,0.031613,9.284905140288172,0.6751943155902385,0.0362697527926224,0.0291489111804275,0.2904154095892298,0.565353,0.031613,21.861759223043915,unweighted_total_prob,0.2904154095892298,27.0,1543.0,28.0,196.0,-0.04295328871917725,-0.4474576634521484,11.059757124632597,True,False,True,2
acalabrutinib,Acalabrutinib,8.913823267444966,21.589529812335964,8.913823267444966,100,0.51121,0.107496,0.51121,0.107496,8.913823267444966,0.5701960221543046,0.1574665316539799,0.0333951912479009,0.297744059772894,0.51121,0.107496,21.589529812335964,unweighted_total_prob,0.297744059772894,29.0,1327.0,146.0,224.0,-0.09709628871917719,-0.3715746634521484,10.787527713924646,True,False,True,2
rucaparib,Rucaparib,8.408321005292235,21.475574813783165,8.408321005292235,100,0.499673,0.035196,0.499673,0.035196,8.408321005292235,0.5478225793940146,0.0419923528303152,0.0397826805586168,0.2438825090014553,0.499673,0.035196,21.475574813783165,unweighted_total_prob,0.2438825090014553,30.0,1264.0,34.0,79.0,-0.10863328871917727,-0.4438746634521484,10.673572715371847,True,False,True,2
entrectinib,Entrectinib,8.354650035500526,21.332784533500668,8.354650035500526,100,0.457932,0.07535,0.457932,0.07535,8.354650035500526,0.4668752036241215,0.1061244437913862,0.0405062534408602,0.2373011096543752,0.457932,0.07535,21.332784533500668,unweighted_total_prob,0.2373011096543752,31.0,833.0,91.0,65.0,-0.15037428871917724,-0.4037206634521484,10.53078243508935,True,False,True,2
zanubrutinib,Zanubrutinib,8.73480149079114,21.234394863247868,8.73480149079114,100,0.460079,0.094221,0.460079,0.094221,8.73480149079114,0.4710388320896101,0.1362643224716266,0.0355727465316533,0.2500358111308254,0.460079,0.094221,21.234394863247868,unweighted_total_prob,0.2500358111308254,32.0,853.0,117.0,91.0,-0.14822728871917723,-0.3848496634521484,10.43239276483655,True,False,True,2
