drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real
acrivastine,Acrivastine,,,,,0.608306,0.623788,0.608306,0.623788,5.176423520129172,0.0,0.4133528398981655,0.0,0.1653411359592662,0.608306,0.623788,,unweighted_total_prob,0.1653411359592662,,1.0,315.0,315.0,,,
active,active,5.176423520129172,10.802002098411316,5.176423520129172,100.0,,,,,,,,,,,,10.802002098411316,unweighted_total_prob,,1.0,,,,,,
acyclovir,Acyclovir,,,,,0.608306,0.71914,0.608306,0.71914,5.176423520129172,0.0,0.5656445950737405,0.0,0.2262578380294962,0.608306,0.71914,,unweighted_total_prob,0.2262578380294962,,1.0,772.0,772.0,,,
adapalene,Adapalene,,,,,0.608306,0.696232,0.608306,0.696232,5.176423520129172,0.0,0.529057008787537,0.0,0.2116228035150148,0.608306,0.696232,,unweighted_total_prob,0.2116228035150148,,1.0,660.0,660.0,,,
adefovir_dipivoxil,Adefovir_dipivoxil,,,,,0.608306,0.683325,0.608306,0.683325,5.176423520129172,0.0,0.5084425519953235,0.0,0.2033770207981294,0.608306,0.683325,,unweighted_total_prob,0.2033770207981294,,1.0,588.0,588.0,,,
ademetionine,Ademetionine,,,,,0.608306,0.666167,0.608306,0.666167,5.176423520129172,0.0,0.4810385968050546,0.0,0.1924154387220218,0.608306,0.666167,,unweighted_total_prob,0.1924154387220218,,1.0,500.0,500.0,,,
adenosine,Adenosine,,,,,0.608306,0.843706,0.608306,0.843706,5.176423520129172,0.0,0.7645955848295997,0.0,0.3058382339318399,0.608306,0.843706,,unweighted_total_prob,0.3058382339318399,,1.0,1357.0,1357.0,,,
adenosine_phosphate,Adenosine_phosphate,,,,,0.608306,0.773052,0.608306,0.773052,5.176423520129172,0.0,0.6517503202292233,0.0,0.2607001280916893,0.608306,0.773052,,unweighted_total_prob,0.2607001280916893,,1.0,1079.0,1079.0,,,
afatinib,Afatinib,,,,,0.608306,0.951851,0.608306,0.951851,5.176423520129172,0.0,0.9373197213287038,0.0,0.3749278885314815,0.608306,0.951851,,unweighted_total_prob,0.3749278885314815,,1.0,1574.0,1574.0,,,
agomelatine,Agomelatine,,,,,0.608306,0.71173,0.608306,0.71173,5.176423520129172,0.0,0.5538096896092405,0.0,0.2215238758436962,0.608306,0.71173,,unweighted_total_prob,0.2215238758436962,,1.0,722.0,722.0,,,
albendazole,Albendazole,,,,,0.608306,0.696368,0.608306,0.696368,5.176423520129172,0.0,0.5292742216273714,0.0,0.2117096886509485,0.608306,0.696368,,unweighted_total_prob,0.2117096886509485,,1.0,661.0,661.0,,,
alclofenac,Alclofenac,,,,,0.608306,0.532407,0.608306,0.532407,5.176423520129172,0.0,0.2674033802151045,0.0,0.1069613520860418,0.608306,0.532407,,unweighted_total_prob,0.1069613520860418,,1.0,69.0,69.0,,,
alcuronium,Alcuronium,,,,,0.608306,0.671286,0.608306,0.671286,5.176423520129172,0.0,0.4892144242102876,0.0,0.195685769684115,0.608306,0.671286,,unweighted_total_prob,0.195685769684115,,1.0,529.0,529.0,,,
alectinib,Alectinib,,,,,0.608306,0.982927,0.608306,0.982927,5.176423520129172,0.0,0.9869528552308364,0.0,0.3947811420923346,0.608306,0.982927,,unweighted_total_prob,0.3947811420923346,,1.0,1622.0,1622.0,,,
alendronic_acid,Alendronic_acid,,,,,0.608306,0.743422,0.608306,0.743422,5.176423520129172,0.0,0.6044266699035639,0.0,0.2417706679614255,0.608306,0.743422,,unweighted_total_prob,0.2417706679614255,,1.0,909.0,909.0,,,
alfacalcidol,Alfacalcidol,,,,,0.608306,0.734435,0.608306,0.734435,5.176423520129172,0.0,0.5900730537889265,0.0,0.2360292215155706,0.608306,0.734435,,unweighted_total_prob,0.2360292215155706,,1.0,856.0,856.0,,,
alfuzosin,Alfuzosin,,,,,0.608306,0.774424,0.608306,0.774424,5.176423520129172,0.0,0.6539416144663751,0.0,0.26157664578655,0.608306,0.774424,,unweighted_total_prob,0.26157664578655,,1.0,1087.0,1087.0,,,
alimemazine,Alimemazine,,,,,0.608306,0.605104,0.608306,0.605104,5.176423520129172,0.0,0.3835116288726973,0.0,0.1534046515490789,0.608306,0.605104,,unweighted_total_prob,0.1534046515490789,,1.0,245.0,245.0,,,
aliskiren,Aliskiren,,,,,0.608306,0.770587,0.608306,0.770587,5.176423520129172,0.0,0.6478133375072271,0.0,0.2591253350028908,0.608306,0.770587,,unweighted_total_prob,0.2591253350028908,,1.0,1058.0,1058.0,,,
alitretinoin,Alitretinoin,,,,,0.608306,0.591765,0.608306,0.591765,5.176423520129172,0.0,0.3622072018833631,0.0,0.1448828807533452,0.608306,0.591765,,unweighted_total_prob,0.1448828807533452,,1.0,205.0,205.0,,,
allopurinol,Allopurinol,,,,,0.608306,0.559289,0.608306,0.559289,5.176423520129172,0.0,0.3103380534535245,0.0,0.1241352213814098,0.608306,0.559289,,unweighted_total_prob,0.1241352213814098,,1.0,112.0,112.0,,,
allylestrenol,Allylestrenol,,,,,0.608306,0.523604,0.608306,0.523604,5.176423520129172,0.0,0.2533436402955372,0.0,0.1013374561182148,0.608306,0.523604,,unweighted_total_prob,0.1013374561182148,,1.0,61.0,61.0,,,
almitrine,Almitrine,,,,,0.608306,0.714325,0.608306,0.714325,5.176423520129172,0.0,0.5579543022516666,0.0,0.2231817209006666,0.608306,0.714325,,unweighted_total_prob,0.2231817209006666,,1.0,739.0,739.0,,,
almotriptan,Almotriptan,,,,,0.608306,0.662906,0.608306,0.662906,5.176423520129172,0.0,0.4758302801087342,0.0,0.1903321120434936,0.608306,0.662906,,unweighted_total_prob,0.1903321120434936,,1.0,485.0,485.0,,,
alogliptin,Alogliptin,,,,,0.608306,0.770245,0.608306,0.770245,5.176423520129172,0.0,0.6472671111011732,0.0,0.2589068444404693,0.608306,0.770245,,unweighted_total_prob,0.2589068444404693,,1.0,1055.0,1055.0,,,
