drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real
acetaminophen,Acetaminophen,2.2194030032027494,4.840203832834955,2.2194030032027494,100,0.322157,0.407674,0.322157,0.407674,2.2194030032027494,0.2035698217416262,0.6368967951523204,0.3538694635099348,0.4069605394595657,0.322157,0.407674,4.840203832834955,unweighted_total_prob,0.4069605394595657,1454.0,63.0,1419.0,927.0,-0.2861492887191772,-0.0713966634521484,-5.9617982655763635
acetazolamide,Acetazolamide,4.498558908561243,8.600967464968559,4.498558908561243,100,0.489344,0.363686,0.489344,0.363686,4.498558908561243,0.5277917836697333,0.5666412186918037,0.1376748655296424,0.4653081740505433,0.489344,0.363686,8.600967464968559,unweighted_total_prob,0.4653081740505433,790.0,1176.0,1262.0,1311.0,-0.11896228871917724,-0.11538466345214837,-2.2010346334427595
acetohexamide,Acetohexamide,5.156772173196075,11.237601019442078,5.156772173196075,100,0.492582,0.363241,0.492582,0.363241,5.156772173196075,0.5340711637215508,0.56593048550264,0.1108031335580176,0.4621612864012799,0.492582,0.363241,11.237601019442078,unweighted_total_prob,0.4621612864012799,455.0,1204.0,1261.0,1285.0,-0.11572428871917723,-0.1158296634521484,0.4355989210307598
acetohydroxamic_acid,Acetohydroxamic_acid,5.410374660510568,10.970591038465496,5.410374660510568,100,0.430547,0.218425,0.430547,0.218425,5.410374660510568,0.413768093457654,0.3346371427567504,0.1021946112508305,0.3198010167359278,0.430547,0.218425,10.970591038465496,unweighted_total_prob,0.3198010167359278,488.0,577.0,506.0,338.0,-0.17775928871917723,-0.26064566345214835,0.16858894005417824
acetophenazine,Acetophenazine,4.314872615132479,9.595480605959889,4.314872615132479,100,0.449292,0.286511,0.449292,0.286511,4.314872615132479,0.4501198473400872,0.4433809178520206,0.1466370885175374,0.3867277237803506,0.449292,0.286511,9.595480605959889,unweighted_total_prob,0.3867277237803506,637.0,750.0,892.0,770.0,-0.15901428871917722,-0.19255966345214837,-1.2065214924514294
acetylcarnitine,Acetylcarnitine,2.762454948644152,5.631070168688889,2.762454948644152,100,0.445003,0.366609,0.445003,0.366609,2.762454948644152,0.4418022867958484,0.5713096975950067,0.2699832897462924,0.4592414517056005,0.445003,0.366609,5.631070168688889,unweighted_total_prob,0.4592414517056005,1308.0,707.0,1275.0,1268.0,-0.16330328871917726,-0.11246166345214836,-5.170931929722429
acetylcholine,Acetylcholine,3.941628775279967,8.556522898375984,3.941628775279967,100,0.305909,0.22945,0.305909,0.22945,3.941628775279967,0.1720604433963727,0.3522457571624336,0.1674210981728795,0.2432066998580984,0.305909,0.22945,8.556522898375984,unweighted_total_prob,0.2432066998580984,798.0,38.0,569.0,78.0,-0.30239728871917726,-0.2496206634521484,-2.2454792000353336
acetylcysteine,Acetylcysteine,2.26303886331152,4.784450633451338,2.26303886331152,100,0.352029,0.352173,0.352029,0.352173,2.26303886331152,0.2614999146717967,0.5482531935078916,0.3456414358213516,0.3930295304361456,0.352029,0.352173,4.784450633451338,unweighted_total_prob,0.3930295304361456,1458.0,142.0,1213.0,817.0,-0.25627728871917727,-0.12689766345214837,-6.01755146495998
acetylsalicylic_acid,Acetylsalicylic_acid,1.984659432829356,4.614551868289705,1.984659432829356,100,0.283898,0.256731,0.283898,0.256731,1.984659432829356,0.1293750096963867,0.3958176945412497,0.4043416279089422,0.290945407276843,0.283898,0.256731,4.614551868289705,unweighted_total_prob,0.290945407276843,1477.0,16.0,719.0,198.0,-0.32440828871917726,-0.2223396634521484,-6.187450230121613
acipimox,Acipimox,1.7970236937515418,4.056152421981092,1.7970236937515418,100,0.397847,0.371454,0.397847,0.371454,1.7970236937515418,0.3503537241882185,0.5790479050141029,0.4541676425667951,0.4625941801942875,0.397847,0.371454,4.056152421981092,unweighted_total_prob,0.4625941801942875,1532.0,349.0,1289.0,1287.0,-0.21045928871917724,-0.10761666345214838,-6.745849676430226
acitretin,Acitretin,2.743770474847404,5.839692447334524,2.743770474847404,100,0.398019,0.390192,0.398019,0.390192,2.743770474847404,0.3506872798920211,0.6089753623142111,0.2723179208881103,0.4383286410601149,0.398019,0.390192,5.839692447334524,unweighted_total_prob,0.4383286410601149,1279.0,351.0,1363.0,1148.0,-0.21028728871917723,-0.0888786634521484,-4.962309651076794
acrivastine,Acrivastine,6.44112171679735,14.238531388342375,6.44112171679735,100,0.482358,0.376212,0.482358,0.376212,6.44112171679735,0.5142439921187768,0.5866471601018345,0.0741826419162173,0.455192989271488,0.482358,0.376212,14.238531388342375,unweighted_total_prob,0.455192989271488,202.0,1095.0,1311.0,1239.0,-0.12594828871917724,-0.10285866345214839,3.436529289931057
acyclovir,Acyclovir,3.659663337282834,7.715726573020215,3.659663337282834,100,0.481949,0.28086,0.481949,0.28086,3.659663337282834,0.513450827683572,0.4343554049262594,0.1859333567647562,0.4163091643968838,0.481949,0.28086,7.715726573020215,unweighted_total_prob,0.4163091643968838,936.0,1086.0,854.0,999.0,-0.12635728871917723,-0.19821066345214838,-3.0862755253911027
