drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_primary_composite_worst
filgotinib,Filgotinib,1.885848144348709,4.780864525586362,1.885848144348709,100.0,0.26653,0.516026,0.26653,0.516026,1.885848144348709,0.3031276727766691,0.1347927612375953,0.1909310452378062,0.213354382653267,0.26653,0.516026,4.780864525586362,unweighted_total_prob,0.213354382653267,487.0,659.0,13.0,11.0,-0.28205785899999997,-0.002713849000000046,-0.8403526364136384,True
topiramate,Topiramate,1.4623605664120969,3.664663934148844,1.4623605664120969,100.0,0.219024,0.516708,0.219024,0.516708,1.4623605664120969,0.2234583843431887,0.1746059544658476,0.2711539702843632,0.2134565295804872,0.219024,0.516708,3.664663934148844,unweighted_total_prob,0.2134565295804872,928.0,320.0,28.0,12.0,-0.32956385899999996,-0.0020318490000000855,-1.9565532278511566,True
cefonicid,Cefonicid,2.0170312868431197,4.6982955336570695,2.0170312868431197,100.0,0.276982,0.51609,0.276982,0.51609,2.01703128684312,0.3206560566167469,0.1385288966725086,0.172914244299229,0.218256830175548,0.276982,0.51609,4.6982955336570695,unweighted_total_prob,0.218256830175548,515.0,770.0,15.0,13.0,-0.27160585899999995,-0.002649848999999982,-0.9229216283429311,True
guaifenesin,Guaifenesin,0.8661699896678307,1.993785559199745,0.8661699896678307,100.0,0.133186,0.517316,0.133186,0.517316,0.8661699896678307,0.0795049388720253,0.2100992410974911,0.5170471655629455,0.2192511051003957,0.133186,0.517316,1.993785559199745,unweighted_total_prob,0.2192511051003957,1562.0,20.0,56.0,14.0,-0.41540185899999993,-0.0014238490000000326,-3.6274316028002556,True
fluticasone_furoate,Fluticasone_furoate,,,,,0.219552,0.515698,0.219552,0.515698,1.0392930210917235,0.224343859531436,0.1156450671336843,0.4165780202968198,0.2193111747254121,0.219552,0.515698,,unweighted_total_prob,0.2193111747254121,,324.0,8.0,15.0,-0.329035859,-0.003041849000000041,,True
trospium,Trospium,1.673857334069906,4.120315128937359,1.673857334069906,100.0,0.190955,0.518222,0.190955,0.518222,1.673857334069906,0.1763856512770632,0.2629889083479268,0.2260151888449613,0.2209528616189883,0.190955,0.518222,4.120315128937359,unweighted_total_prob,0.2209528616189883,737.0,174.0,125.0,16.0,-0.35763285899999997,-0.0005178490000000702,-1.5009020330626415,True
isoflurophate,Isoflurophate,1.9806303458753955,4.607134789228435,1.9806303458753955,100.0,0.239776,0.517253,0.239776,0.517253,1.9806303458753955,0.2582602424994549,0.20642148277875,0.1776743385330949,0.2214075578179009,0.239776,0.517253,4.607134789228435,unweighted_total_prob,0.2214075578179009,553.0,453.0,49.0,17.0,-0.30881185899999997,-0.0014868490000000678,-1.0140823727715658,True
roxithromycin,Roxithromycin,1.820864216051994,4.37553832866251,1.820864216051994,100.0,0.138297,0.520151,0.138297,0.520151,1.820864216051994,0.0880762716128058,0.3755983654407506,0.200817502301235,0.2256333552816696,0.138297,0.520151,4.37553832866251,unweighted_total_prob,0.2256333552816696,640.0,23.0,472.0,18.0,-0.41029085899999995,0.0014111509999999994,-1.2456788333374904,True
ivacaftor,Ivacaftor,3.493667350150643,9.247925058007237,3.493667350150643,100.0,0.246464,0.5183,0.246464,0.5183,3.493667350150643,0.2694762615505878,0.2675423234092241,0.0634434451616683,0.2274961230162584,0.246464,0.5183,9.247925058007237,unweighted_total_prob,0.2274961230162584,43.0,497.0,132.0,19.0,-0.30212385899999994,-0.0004398490000000477,3.626707896007236,True
alogliptin,Alogliptin,1.2402826898731272,3.1034345235675524,1.2402826898731272,100.0,0.180613,0.517931,0.180613,0.517931,1.2402826898731272,0.1590417414345369,0.2460011675423267,0.3351199637699419,0.2290411563447338,0.180613,0.517931,3.1034345235675524,unweighted_total_prob,0.2290411563447338,1187.0,133.0,91.0,20.0,-0.36797485899999993,-0.0008088490000000004,-2.517782638432448,True
tofacitinib,Tofacitinib,3.3065205053426308,8.678564533591267,3.3065205053426308,100.0,0.24992,0.518208,0.24992,0.518208,3.3065205053426308,0.2752720991463885,0.2621716287215428,0.0719069206683013,0.2293588752808327,0.24992,0.518208,8.678564533591267,unweighted_total_prob,0.2293588752808327,61.0,530.0,122.0,21.0,-0.2986678589999999,-0.0005318490000000287,3.0573473715912662,True
isradipine,Isradipine,1.4228350049816052,3.3751712664961766,1.4228350049816052,100.0,0.220472,0.517282,0.220472,0.517282,1.4228350049816052,0.2258867329655033,0.2081144191476967,0.2810779996807902,0.2298160607814381,0.220472,0.517282,3.3751712664961766,unweighted_total_prob,0.2298160607814381,1060.0,335.0,52.0,22.0,-0.32811585899999995,-0.001457849000000011,-2.246045895503824,True
butoconazole,Butoconazole,1.517032741359433,3.6050597950816106,1.517032741359433,100.0,0.168742,0.518993,0.168742,0.518993,1.517032741359433,0.1391336430260444,0.3079976649153569,0.2582793054172302,0.2305083842600065,0.168742,0.518993,3.6050597950816106,unweighted_total_prob,0.2305083842600065,959.0,86.0,216.0,23.0,-0.37984585899999995,0.000253151000000007,-2.01615736691839,True
cinacalcet,Cinacalcet,2.1866283716401065,5.041561657562848,2.1866283716401065,100.0,0.25891,0.517354,0.25891,0.517354,2.1866283716401065,0.2903486558553723,0.2123175715119676,0.1528256395992925,0.2316316188667945,0.25891,0.517354,5.041561657562848,unweighted_total_prob,0.2316316188667945,415.0,606.0,57.0,24.0,-0.289677859,-0.00138584900000005,-0.5796555044371523,True
dantron,Dantron,2.0823077194392665,5.3115520942956165,2.0823077194392665,100.0,0.307298,0.515908,0.307298,0.515908,2.0823077194392665,0.3714970903419478,0.1279042615294837,0.1647949577021224,0.2327195322889971,0.307298,0.515908,5.3115520942956165,unweighted_total_prob,0.2327195322889971,347.0,1018.0,11.0,25.0,-0.24128985899999994,-0.0028318489999999974,-0.3096650677043842,True
trimethadione,Trimethadione,1.9802745569497329,4.736696476116771,1.9802745569497329,100.0,0.296563,0.51617,0.296563,0.51617,1.9802745569497329,0.3534941052172601,0.1431990659661437,0.1777217280840198,0.2342216140901655,0.296563,0.51617,4.736696476116771,unweighted_total_prob,0.2342216140901655,499.0,931.0,18.0,26.0,-0.25202485899999993,-0.002569849000000013,-0.8845206858832295,True
laropiprant,Laropiprant,1.8060250830603748,4.83290775865316,1.8060250830603748,100.0,0.183227,0.519324,0.183227,0.519324,1.8060250830603748,0.1634255144308977,0.3273204903677779,0.2031748638295947,0.2369333746853892,0.183227,0.519324,4.83290775865316,unweighted_total_prob,0.2369333746853892,471.0,141.0,286.0,27.0,-0.3653608589999999,0.0005841509999999772,-0.7883094033468403,True
benzatropine,Benzatropine,1.0529525136342257,2.582866145297881,1.0529525136342257,100.0,0.179463,0.517749,0.179463,0.517749,1.0529525136342257,0.1571131496419527,0.2353765323993018,0.410057131834329,0.2390072991833676,0.179463,0.517749,2.582866145297881,unweighted_total_prob,0.2390072991833676,1417.0,128.0,75.0,28.0,-0.3691248589999999,-0.0009908490000000159,-3.0383510167021197,True
baricitinib,Baricitinib,2.95900681405328,7.655402574688191,2.95900681405328,100.0,0.274903,0.517808,0.274903,0.517808,2.95900681405328,0.3171694980630231,0.2388207822533608,0.0904624666492421,0.240488605456402,0.274903,0.517808,7.655402574688191,unweighted_total_prob,0.240488605456402,92.0,751.0,81.0,29.0,-0.27368485899999995,-0.0009318489999999846,2.03418541268819,True
